City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
Minbu,20.1833,94.8833,76.91,31,0,3.51,MM,1615661466
Tuktoyaktuk,69.4541,-133.0374,-13.0,77,90,5.75,CA,1615661467
Cape Town,-33.9258,18.4232,72.0,78,75,9.22,ZA,1615661171
Bluff,-46.6,168.3333,46.99,88,4,1.01,NZ,1615661469
Kochubey,44.3861,46.5825,28.76,88,17,13.27,RU,1615661471
San Quintín,30.4833,-115.95,58.3,56,24,10.92,MX,1615661472
Altamont,42.2068,-121.7372,48.0,49,1,2.71,US,1615661473
Los Llanos de Aridane,28.6585,-17.9182,66.2,68,75,9.22,ES,1615661475
Verkhotur'ye,58.8627,60.8054,13.32,88,0,9.33,RU,1615661476
Verkh-Usugli,52.7,115.1667,20.82,92,100,2.17,RU,1615661477
Whitefish,48.4111,-114.3376,45.0,42,1,5.75,US,1615661478
Lebu,-37.6167,-73.65,64.2,66,0,9.55,CL,1615661480
Santa María del Oro,25.9333,-105.3667,80.37,12,9,31.0,MX,1615661481
Henties Bay,-22.116,14.2845,64.99,94,48,4.0,NA,1615661482
Mataura,-46.1927,168.8643,46.99,88,1,1.01,NZ,1615661483
Frankfort,-27.2667,28.4833,63.55,34,5,7.43,ZA,1615661485
Iracoubo,5.4802,-53.2011,80.06,78,92,5.7,GF,1615661486
Ust-Kuyga,70.0167,135.6,-17.97,87,0,6.76,RU,1615661487
Atuona,-9.8,-139.0333,79.05,62,79,4.59,PF,1615661489
Bathsheba,13.2167,-59.5167,84.2,61,40,17.27,BB,1615661490
Chervona Sloboda,49.3789,32.1464,35.42,97,100,7.38,UA,1615661491
Santa Maria,-29.6842,-53.8069,87.17,31,0,6.4,BR,1615661492
Hobart,-42.8794,147.3294,48.2,57,1,10.36,AU,1615661494
Turaif,31.6725,38.6637,53.6,58,0,6.91,SA,1615661495
Grindavik,63.8424,-22.4338,28.4,69,75,19.57,IS,1615661496
Port Alfred,-33.5906,26.891,72.0,88,89,8.99,ZA,1615661438
Bergen,60.392,5.328,37.0,100,75,4.61,NO,1615661499
Oiã,40.5426,-8.5386,55.99,75,0,6.58,PT,1615661500
Hermanus,-34.4187,19.2345,73.99,61,2,1.99,ZA,1615661501
Busselton,-33.65,115.3333,52.0,87,0,11.9,AU,1615661502
Takoradze,4.8845,-1.7554,81.03,81,100,7.94,GH,1615661504
Hilo,19.7297,-155.09,71.6,78,90,4.61,US,1615661505
General Roca,-39.0333,-67.5833,89.6,22,0,6.91,AR,1615661506
Hithadhoo,-0.6,73.0833,84.54,65,15,7.67,MV,1615661508
Rikitea,-23.1203,-134.9692,79.95,75,46,5.91,PF,1615661509
Katsuura,35.1333,140.3,51.8,82,75,8.05,JP,1615661223
Zaoyang,32.1272,112.7542,52.16,86,0,9.93,CN,1615661511
Alexandria,31.2156,29.9553,59.0,63,0,9.22,EG,1615661512
Vrangel',42.7297,133.0839,34.65,59,0,6.49,RU,1615661514
Saint Paul Harbor,57.79,-152.4072,26.6,36,1,19.57,US,1615661515
Kapaa,22.0752,-159.319,71.6,78,90,26.46,US,1615661412
Mahajanga,-15.7167,46.3167,78.8,89,20,3.44,MG,1615661517
Bilma,18.6853,12.9164,84.6,9,0,6.2,NE,1615661519
Chokurdakh,70.6333,147.9167,-20.83,94,0,4.47,RU,1615661520
Narsaq,60.9167,-46.05,24.8,50,75,4.61,GL,1615661521
Rio Verde de Mato Grosso,-18.9181,-54.8442,84.6,67,74,4.94,BR,1615661406
Tarakan,3.3,117.6333,78.3,82,26,2.89,ID,1615661358
Hay River,60.8156,-115.7999,-4.0,65,100,5.75,CA,1615661525
Faya,18.3851,42.4509,68.0,68,0,6.78,SA,1615661526
Ushuaia,-54.8,-68.3,44.6,70,75,37.98,AR,1615661302
Chui,-33.6971,-53.4616,73.44,60,26,10.65,UY,1615661528
Tuy Hoa,13.0833,109.3,73.04,90,74,6.42,VN,1615661529
Sabha,27.0377,14.4283,75.04,18,97,23.55,LY,1615661531
Dikson,73.5069,80.5464,-21.15,96,100,16.98,RU,1615661532
Deputatsky,69.3,139.9,-24.52,75,0,2.71,RU,1615661533
Avera,33.194,-82.5271,78.8,44,40,6.91,US,1615661535
Lompoc,34.6391,-120.4579,53.6,71,90,9.22,US,1615661353
Faanui,-16.4833,-151.75,83.16,72,24,10.51,PF,1615661537
Yellowknife,62.456,-114.3525,-2.99,64,75,6.91,CA,1615661538
Ust-Nera,64.5667,143.2,-25.44,98,1,2.95,RU,1615661539
Maba,24.6841,113.5984,66.63,82,13,2.17,CN,1615661541
Saint-Philippe,-21.3585,55.7679,78.8,73,0,13.8,RE,1615661542
Cap Malheureux,-19.9842,57.6142,78.01,79,100,4.0,MU,1615661543
Moose Factory,51.2585,-80.6094,23.0,80,90,14.97,CA,1615661545
Tiksi,71.6872,128.8694,-1.91,90,100,10.42,RU,1615661546
Yueyang,29.3333,113.0919,55.18,85,0,2.13,CN,1615661547
Carnarvon,-24.8667,113.6333,82.4,61,40,10.36,AU,1615661548
Makakilo City,21.3469,-158.0858,71.6,78,1,11.5,US,1615661550
Bredasdorp,-34.5322,20.0403,66.2,82,22,2.3,ZA,1615661551
Ovalle,-30.5983,-71.2003,82.96,33,0,10.98,CL,1615661291
Vostok,46.4856,135.8833,19.2,68,100,1.79,RU,1615661553
Salalah,17.0151,54.0924,78.8,69,0,2.3,OM,1615661401
Ribeira Grande,38.5167,-28.7,60.8,94,75,19.57,PT,1615661556
Poum,-20.2333,164.0167,78.76,75,96,14.45,NC,1615661427
Mildura,-34.2,142.15,50.0,81,0,8.05,AU,1615661558
Buraidah,26.326,43.975,66.2,42,0,6.91,SA,1615661559
Jamestown,42.097,-79.2353,39.0,40,1,11.45,US,1615661560
Marabu,4.4148,114.0089,77.0,94,40,3.24,MY,1615661562
Kiryat Gat,31.61,34.7642,60.01,85,0,1.01,IL,1615661563
Ranong,9.9658,98.6348,75.18,91,13,4.23,TH,1615661557
New Norfolk,-42.7826,147.0587,43.0,66,6,2.86,AU,1615661407
Alta Floresta,-9.8756,-56.0861,77.0,88,75,9.22,BR,1615661566
Lüderitz,-26.6481,15.1594,68.14,78,0,13.91,NA,1615661399
Mandalgovi,45.7625,106.2708,40.08,29,64,10.51,MN,1615661569
Turukhansk,65.8167,87.9833,-31.27,95,0,6.31,RU,1615661570
Airai,-8.9266,125.4092,60.35,95,100,0.98,TL,1615661572
Cabo San Lucas,22.8909,-109.9124,73.99,68,1,11.5,MX,1615661402
Tura,25.5198,90.2201,64.72,60,0,1.52,IN,1615661574
Sorong,-0.8833,131.25,77.52,85,100,3.22,ID,1615661575
Dingle,10.9995,122.6711,74.01,96,100,4.05,PH,1615661438
Port Moresby,-9.4431,147.1797,75.2,100,75,8.05,PG,1615661577
Babīna,25.25,78.4667,76.41,31,0,3.91,IN,1615661579
Flinders,-34.5833,150.8552,69.01,84,100,5.99,AU,1615661580
Constitución,-35.3333,-72.4167,66.27,68,32,6.42,CL,1615661581
Pevek,69.7008,170.3133,-1.32,98,100,8.59,RU,1615661485
Qaanaaq,77.484,-69.3632,0.59,71,100,4.09,GL,1615661584
Olivença,-9.5186,-37.1906,90.52,39,66,14.83,BR,1615661585
Matelândia,-25.2408,-53.9964,93.2,29,0,8.05,BR,1615661586
Viedma,-40.8135,-62.9967,86.7,18,0,7.07,AR,1615661587
Albany,42.6001,-73.9662,41.0,26,0,4.0,US,1615661313
Abnūb,27.2696,31.1511,60.8,41,0,13.8,EG,1615661590
Punta Arenas,-53.15,-70.9167,51.8,43,20,28.77,CL,1615661400
Mahébourg,-20.4081,57.7,80.6,78,40,6.91,MU,1615661592
